Rank,District,Name,FTE Students,,,,,,,,
132,33070,Valley,"1,235",,,,,,,,
133,32325,Nine Mile Falls,"1,263",,,,,,,,
134,4129,Lake Chelan,"1,249",,,,,,,,
135,34402,Tenino,"1,233",,,,,,,,
136,39205,Zillah,"1,204",,,,,,,,
137,39003,Naches Valley,"1,189",,,,,,,,
138,15206,South Whidbey,"1,167",,,,,,,,
139,4228,Cascade,"1,163",,,,,,,,
140,20405,White Salmon,"1,100",,,,,,,,
141,16050,Port Townsend,"1,066",,,,,,,,
142,33212,Kettle Falls,"1,035",,,,,,,,
143,24105,Okanogan,"1,050",,,,,,,,
144,24404,Tonasket,"1,057",,,,,,,,
145,39203,Highland,"1,044",,,,,,,,
146,25101,Ocean Beach,994,,,,,,,,
147,8402,Kalama,983,,,,,,,,
148,15204,Coupeville,966,,,,,,,,
149,26056,Newport,930,,,,,,,,
150,24111,Brewster,916,,,,,,,,
151,3053,Finley,864,,,,,,,,
152,34307,Rainier,857,,,,,,,,
153,13146,Warden,844,,,,,,,,
154,39209,Mount Adams,852,,,,,,,,
155,39120,Mabton,828,,,,,,,,
156,19404,Cle Elum-Roslyn,831,,,,,,,,
157,30303,Stevenson-Carson,814,,,,,,,,
158,32358,Freeman,814,,,,,,,,
159,21300,Onalaska,796,,,,,,,,
160,21237,Toledo,766,,,,,,,,
161,28137,Orcas Island,756,,,,,,,,
162,9075,Bridgeport,745,,,,,,,,
163,21014,Napavine,741,,,,,,,,
164,28149,San Juan Island,745,,,,,,,,
165,14064,North Beach,723,,,,,,,,
166,32907,PRIDE Prep,700,,,,,,,,
167,13301,Grand Coulee Dam,696,,,,,,,,
168,16049,Chimacum,692,,,,,,,,
169,33036,Chewelah,680,,,,,,,,
170,36400,Columbia (Wal),679,,,,,,,,
171,21232,Winlock,681,,,,,,,,
172,24350,Methow Valley,670,,,,,,,,
173,22009,Reardan-Edwall,666,,,,,,,,
174,23402,Pioneer,646,,,,,,,,
175,16048,Quilcene,637,,,,,,,,
176,8130,Toutle Lake,629,,,,,,,,
177,4019,Manson,611,,,,,,,,
178,2420,Asotin-Anatone,603,,,,,,,,
179,32901,Spokane Int'l Acad,598,,,,,,,,
180,34324,Griffin,598,,,,,,,,
181,19403,Kittitas,579,,,,,,,,
182,29311,La Conner,581,,,,,,,,
183,14172,Ocosta,575,,,,,,,,
184,17903,Muckleshoot Tribal,553,,,,,,,,
185,21226,Adna,573,,,,,,,,
186,25118,South Bend,563,,,,,,,,
187,39002,Union Gap,575,,,,,,,,
188,27901,Chief Leschi Tribal,551,,,,,,,,
189,21206,Mossyrock,544,,,,,,,,
190,22207,Davenport,523,,,,,,,,
191,32362,Liberty,521,,,,,,,,
192,13156,Soap Lake,523,,,,,,,,
193,25116,Raymond,515,,,,,,,,
194,38300,Colfax,521,,,,,,,,
195,24410,Oroville,505,,,,,,,,
196,5401,Cape Flattery,499,,,,,,,,
197,29011,Concrete,490,,,,,,,,
198,35200,Wahkiakum,467,,,,,,,,
199,17905,Summit Atlas,462,,,,,,,,
200,29317,Conway,448,,,,,,,,
201,33049,Wellpinit,429,,,,,,,,
202,17911,Impact Puget Sound,408,,,,,,,,
203,33207,Mary Walker,409,,,,,,,,
204,37903,Lummi Tribal,396,,,,,,,,
205,31330,Darrington,384,,,,,,,,
206,7002,Dayton,385,,,,,,,,
207,10309,Republic,364,,,,,,,,
208,17902,Summit Sierra,366,,,,,,,,
209,17908,Rainier Prep,344,,,,,,,,
210,21303,White Pass,328,,,,,,,,
211,1160,Ritzville,321,,,,,,,,
212,25160,Willapa Valley,320,,,,,,,,
213,5313,Crescent,316,,,,,,,,
214,21214,Morton,309,,,,,,,,
215,12110,Pomeroy,305,,,,,,,,
216,25155,Naselle Grays R.,303,,,,,,,,
217,23404,Hood Canal,293,,,,,,,,
218,4127,Entiat,292,,,,,,,,
219,24122,Pateros,288,,,,,,,,
220,14065,McCleary,287,,,,,,,,
221,10050,Curlew,284,,,,,,,,
222,26059,Cusick,273,,,,,,,,
223,14400,Oakville,279,,,,,,,,
224,9209,Waterville,259,,,,,,,,
225,33183,Loon Lake,259,,,,,,,,
226,33211,Northport,261,,,,,,,,
227,21301,Pe Ell,247,,,,,,,,
228,36402,Prescott,245,,,,,,,,
229,36401,Waitsburg,239,,,,,,,,
230,28144,Lopez Island,229,,,,,,,,
231,26070,Selkirk,226,,,,,,,,
232,22200,Wilbur,218,,,,,,,,
233,10070,Inchelium,213,,,,,,,,
234,19400,Thorp,208,,,,,,,,
235,23042,Southside,202,,,,,,,,
236,22105,Odessa,203,,,,,,,,
237,36300,Touchet,202,,,,,,,,
238,23054,Grapeview,195,,,,,,,,
239,27905,Summit Olympus,195,,,,,,,,
240,13151,Coulee-Hartline,199,,,,,,,,
241,20406,Lyle,200,,,,,,,,
242,1158,Lind,196,,,,,,,,
243,27019,Carbonado,188,,,,,,,,
244,14097,Lake Quinault,178,,,,,,,,
245,20400,Trout Lake,182,,,,,,,,
246,14077,Taholah,167,,,,,,,,
247,38265,Tekoa,169,,,,,,,,
248,38320,Rosalia,167,,,,,,,,
249,18901,Catalyst Bremerton,165,,,,,,,,
250,14099,Cosmopolis,163,,,,,,,,
251,17910,Rainier Valley LA,163,,,,,,,,
252,9013,Orondo,155,,,,,,,,
253,38301,Palouse,157,,,,,,,,
254,6103,Green Mountain,155,,,,,,,,
255,38306,Colton,153,,,,,,,,
256,14117,Wishkah Valley,142,,,,,,,,
257,38324,Oakesdale,141,,,,,,,,
258,34901,Wa He Lut Tribal,140,,,,,,,,
259,3050,Paterson,138,,,,,,,,
260,24014,Nespelem,132,,,,,,,,
261,13167,Wilson Creek,131,,,,,,,,
262,5903,Quileute Tribal,130,,,,,,,,
263,17916,Impact Salish Sea,124,,,,,,,,
264,38322,St. John,129,,,,,,,,
265,39901,Yakama Nation,126,,,,,,,,
266,22204,Harrington,119,,,,,,,,
267,20203,Bickleton,108,,,,,,,,
268,33206,Columbia (Ste),105,,,,,,,,
269,38302,Garfield,102,,,,,,,,
270,9207,Mansfield,87,,,,,,,,
271,18902,Suquamish Tribal,86,,,,,,,,
272,20215,Centerville,87,,,,,,,,
273,22017,Almira,87,,,,,,,,
274,21234,Boistfort,85,,,,,,,,
275,19028,Easton,85,,,,,,,,
276,38126,Lacrosse,84,,,,,,,,
277,22073,Creston,84,,,,,,,,
278,38308,Endicott,80,,,,,,,,
279,32123,Orchard Prairie,78,,,,,,,,
280,16046,Brinnon,76,,,,,,,,
281,22008,Sprague,74,,,,,,,,
282,20402,Klickitat,72,,,,,,,,
283,30029,Mount Pleasant,66,,,,,,,,
284,25200,North River,68,,,,,,,,
285,33202,Summit Valley,64,,,,,,,,
286,20094,Wishram,64,,,,,,,,
287,30002,Skamania,63,,,,,,,,
288,20401,Glenwood,61,,,,,,,,
289,1109,Washtucna,61,,,,,,,,
290,36901,Willow,56,,,,,,,,
291,14104,Satsop,50,,,,,,,,
292,21036,Evaline,51,,,,,,,,
293,10065,Orient,44,,,,,,,,
294,17404,Skykomish,44,,,,,,,,
295,38304,Steptoe,44,,,,,,,,
296,30031,Mill A,41,,,,,,,,
297,33030,Onion Creek,43,,,,,,,,
298,38264,Lamont,41,,,,,,,,
299,19007,Damman,42,,,,,,,,
300,7035,Starbuck,52,,,,,,,,
301,11056,Kahlotus,39,,,,,,,,
302,20403,Roosevelt,37,,,,,,,,
303,16020,Queets-Clearwater,41,,,,,,,,
304,10003,Keller,36,,,,,,,,
305,32312,Great Northern,36,,,,,,,,
306,32903,Lumen Charter,37,,,,,,,,
307,33205,Evergreen (Ste),31,,,,,,,,
308,9102,Palisades,29,,,,,,,,
309,36101,Dixie,28,,,,,,,,
310,31063,Index,24,,,,,,,,
311,1122,Benge,16,,,,,,,,
312,11054,Star,15,,,,,,,,
313,4069,Stehekin,8,,,,,,,,
314,28010,Shaw Island,8,,,,,,,,
,,,,,,,,,,,
